Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,0.002028,0.002052,0.002021,0.002033,0.002033,51180941
2020-01-02,0.002034,0.002110,0.001983,0.002009,0.002009,65071106
2020-01-03,0.002008,0.002177,0.001991,0.002145,0.002145,62619988
2020-01-04,0.002144,0.002490,0.002050,0.002241,0.002241,94227582
2020-01-05,0.002240,0.002491,0.002117,0.002419,0.002419,52631740
2020-01-06,0.002418,0.002564,0.002379,0.002463,0.002463,54562409
2020-01-07,0.002485,0.002497,0.002354,0.002433,0.002433,52767343
2020-01-08,0.002433,0.002465,0.002265,0.002293,0.002293,77251526
2020-01-09,0.002291,0.002314,0.002145,0.002256,0.002256,70690571
2020-01-10,0.002255,0.002361,0.002199,0.002356,0.002356,87683356
2020-01-11,0.002351,0.002373,0.002296,0.002314,0.002314,94203409
2020-01-12,0.002313,0.002413,0.002313,0.002381,0.002381,79426215
2020-01-13,0.002381,0.002407,0.002327,0.002358,0.002358,83849846
2020-01-14,0.002358,0.002514,0.002340,0.002470,0.002470,128635383
2020-01-15,0.002468,0.002541,0.002363,0.002369,0.002369,128940321
2020-01-16,0.002372,0.002424,0.002293,0.002345,0.002345,98124199
2020-01-17,0.002346,0.002516,0.002310,0.002490,0.002490,117752841
2020-01-18,0.002490,0.002538,0.002452,0.002507,0.002507,108133943
2020-01-19,0.002514,0.002570,0.002359,0.002405,0.002405,108085147
2020-01-20,0.002405,0.002423,0.002359,0.002374,0.002374,92022277
2020-01-21,0.002374,0.002403,0.002335,0.002376,0.002376,84321565
2020-01-22,0.002376,0.002399,0.002320,0.002323,0.002323,82852580
2020-01-23,0.002323,0.002358,0.002238,0.002268,0.002268,91866620
2020-01-24,0.002268,0.002293,0.002211,0.002276,0.002276,86865882
2020-01-25,0.002276,0.002276,0.002235,0.002257,0.002257,82421399
2020-01-26,0.002258,0.002307,0.002240,0.002305,0.002305,73458474
2020-01-27,0.002304,0.002413,0.002283,0.002368,0.002368,89023414
2020-01-28,0.002365,0.002450,0.002363,0.002450,0.002450,91528771
2020-01-29,0.002451,0.002471,0.002390,0.002390,0.002390,80676219
2020-01-30,0.002391,0.002446,0.002371,0.002440,0.002440,83967914
2020-01-31,0.002440,0.002458,0.002369,0.002394,0.002394,76519295
2020-02-01,0.002391,0.002431,0.002382,0.002422,0.002422,78730830
2020-02-02,0.002421,0.002506,0.002395,0.002468,0.002468,91552515
2020-02-03,0.002466,0.002517,0.002427,0.002440,0.002440,78856631
2020-02-04,0.002438,0.002503,0.002402,0.002503,0.002503,89790002
2020-02-05,0.002503,0.002630,0.002492,0.002582,0.002582,105741619
2020-02-06,0.002583,0.002677,0.002574,0.002653,0.002653,108711614
2020-02-07,0.002654,0.002770,0.002647,0.002769,0.002769,130273878
2020-02-08,0.002767,0.003209,0.002722,0.003159,0.003159,203803814
2020-02-09,0.003156,0.003531,0.003152,0.003232,0.003232,218861527
2020-02-10,0.003234,0.003303,0.002904,0.002986,0.002986,195582003
2020-02-11,0.003011,0.003085,0.002864,0.003041,0.003041,169747135
2020-02-12,0.003041,0.003173,0.003013,0.003093,0.003093,181406960
2020-02-13,0.003064,0.003216,0.002973,0.003026,0.003026,168543942
2020-02-14,0.002999,0.003147,0.002981,0.003130,0.003130,140849233
2020-02-15,0.003098,0.003181,0.002839,0.002920,0.002920,144726029
2020-02-16,0.002917,0.002965,0.002626,0.002774,0.002774,149831933
2020-02-17,0.002740,0.002772,0.002547,0.002712,0.002712,149622002
2020-02-18,0.002677,0.002846,0.002655,0.002839,0.002839,144188844
2020-02-19,0.002839,0.002874,0.002624,0.002624,0.002624,136889052
2020-02-20,0.002625,0.002673,0.002569,0.002659,0.002659,187866681
2020-02-21,0.002656,0.002703,0.002614,0.002648,0.002648,157652567
2020-02-22,0.002650,0.002655,0.002577,0.002601,0.002601,156145895
2020-02-23,0.002600,0.002682,0.002596,0.002680,0.002680,180747902
2020-02-24,0.002679,0.002687,0.002557,0.002590,0.002590,159143744
2020-02-25,0.002590,0.002591,0.002436,0.002476,0.002476,178541404
2020-02-26,0.002475,0.002487,0.002211,0.002339,0.002339,201370789
2020-02-27,0.002337,0.002403,0.002298,0.002324,0.002324,162813946
2020-02-28,0.002323,0.002373,0.002226,0.002289,0.002289,153544453
2020-02-29,0.002286,0.002320,0.002230,0.002235,0.002235,146635830
2020-03-01,0.002233,0.002297,0.002223,0.002275,0.002275,162437207
2020-03-02,0.002278,0.002370,0.002256,0.002349,0.002349,165788612
2020-03-03,0.002348,0.002525,0.002316,0.002499,0.002499,174988479
2020-03-04,0.002500,0.002508,0.002367,0.002398,0.002398,144601436
2020-03-05,0.002399,0.002531,0.002395,0.002506,0.002506,104912777
2020-03-06,0.002504,0.002517,0.002447,0.002496,0.002496,100268192
2020-03-07,0.002501,0.002513,0.002401,0.002405,0.002405,88138038
2020-03-08,0.002406,0.002408,0.002184,0.002187,0.002187,101738284
2020-03-09,0.002189,0.002236,0.002107,0.002214,0.002214,137033008
2020-03-10,0.002217,0.002263,0.002166,0.002207,0.002207,115431584
2020-03-11,0.002208,0.002228,0.002099,0.002184,0.002184,107425626
2020-03-12,0.002183,0.002188,0.001535,0.001537,0.001537,167892774
2020-03-13,0.001540,0.001799,0.001247,0.001738,0.001738,218676976
2020-03-14,0.001737,0.001784,0.001640,0.001666,0.001666,113389101
2020-03-15,0.001664,0.001819,0.001655,0.001685,0.001685,119811060
2020-03-16,0.001684,0.001699,0.001453,0.001587,0.001587,134329668
2020-03-17,0.001591,0.001677,0.001558,0.001587,0.001587,102697604
2020-03-18,0.001590,0.001612,0.001552,0.001566,0.001566,102196814
2020-03-19,0.001566,0.001844,0.001562,0.001773,0.001773,251888350
2020-03-20,0.001771,0.001931,0.001679,0.001773,0.001773,188170528
2020-03-21,0.001771,0.001851,0.001693,0.001785,0.001785,166141811
2020-03-22,0.001785,0.001868,0.001719,0.001731,0.001731,161287088
2020-03-23,0.001727,0.001817,0.001692,0.001805,0.001805,166551897
2020-03-24,0.001805,0.001912,0.001799,0.001851,0.001851,177134005
2020-03-25,0.001852,0.001890,0.001799,0.001834,0.001834,163367839
2020-03-26,0.001833,0.001872,0.001827,0.001842,0.001842,162455890
2020-03-27,0.001843,0.001868,0.001804,0.001807,0.001807,166326062
2020-03-28,0.001805,0.001808,0.001716,0.001778,0.001778,169979142
2020-03-29,0.001777,0.001805,0.001717,0.001723,0.001723,156619235
2020-03-30,0.001723,0.001868,0.001717,0.001831,0.001831,163244392
2020-03-31,0.001851,0.001851,0.001805,0.001811,0.001811,156195510
2020-04-01,0.001812,0.001867,0.001776,0.001867,0.001867,163418627
2020-04-02,0.001868,0.001940,0.001850,0.001882,0.001882,165879605
2020-04-03,0.001883,0.001916,0.001834,0.001853,0.001853,161121845
2020-04-04,0.001853,0.001910,0.001841,0.001880,0.001880,160849686
2020-04-05,0.001880,0.001909,0.001847,0.001865,0.001865,152557918
2020-04-06,0.001866,0.001983,0.001852,0.001980,0.001980,173173223
2020-04-07,0.001972,0.002030,0.001934,0.001997,0.001997,129399793
2020-04-08,0.001986,0.002044,0.001960,0.002012,0.002012,116283369
2020-04-09,0.002013,0.002033,0.001985,0.002021,0.002021,109954538
2020-04-10,0.002021,0.002023,0.001891,0.001968,0.001968,122108790
2020-04-11,0.001968,0.002004,0.001941,0.001990,0.001990,161367396
2020-04-12,0.001989,0.002009,0.001951,0.001990,0.001990,169892709
2020-04-13,0.001990,0.001990,0.001894,0.001959,0.001959,167357650
2020-04-14,0.001958,0.001980,0.001935,0.001964,0.001964,188937615
2020-04-15,0.001963,0.001975,0.001906,0.001940,0.001940,169903672
2020-04-16,0.001941,0.002029,0.001886,0.002028,0.002028,179859738
2020-04-17,null,null,null,null,null,null
2020-04-18,0.002013,0.002062,0.002007,0.002061,0.002061,168186509
2020-04-19,0.002060,0.002073,0.002028,0.002058,0.002058,172576560
2020-04-20,0.002058,0.002066,0.001962,0.001982,0.001982,169715146
2020-04-21,0.001982,0.002032,0.001952,0.001971,0.001971,163652750
2020-04-22,0.001971,0.002033,0.001964,0.002011,0.002011,163753943
2020-04-23,0.002011,0.002123,0.002005,0.002047,0.002047,179000350
2020-04-24,0.002047,0.002121,0.002042,0.002103,0.002103,209562151
2020-04-25,0.002102,0.002146,0.002087,0.002142,0.002142,229810398
2020-04-26,0.002141,0.002444,0.002136,0.002409,0.002409,287859775
2020-04-27,0.002410,0.002414,0.002308,0.002355,0.002355,276033020
2020-04-28,0.002354,0.002372,0.002322,0.002339,0.002339,254905520
2020-04-29,0.002339,0.002542,0.002331,0.002517,0.002517,295698249
2020-04-30,0.002517,0.002689,0.002392,0.002443,0.002443,298563815
2020-05-01,0.002444,0.002559,0.002441,0.002494,0.002494,282886977
