date,low,high,open,close,volume
2020-01-08 08:00:00,2.884,2.884,2.884,2.884,3251.1
2020-01-08 08:30:00,2.898,2.905,2.903,2.905,2008.4
2020-01-08 09:00:00,2.898,2.903,2.898,2.903,2017.0
2020-01-08 09:30:00,2.897,2.901,2.9,2.897,2595.1
2020-01-08 10:00:00,2.889,2.896,2.896,2.893,3714.5
2020-01-08 10:30:00,2.901,2.909,2.905,2.901,4138.5
2020-01-08 11:00:00,2.897,2.902,2.9,2.898,4076.8
2020-01-08 11:30:00,2.902,2.908,2.905,2.906,5660.3
2020-01-08 12:00:00,2.894,2.897,2.894,2.897,2057.8
2020-01-08 12:30:00,2.897,2.902,2.898,2.9,7290.7
2020-01-08 13:00:00,2.876,2.883,2.881,2.876,4361.1
2020-01-08 13:30:00,2.864,2.88,2.869,2.879,6875.1
2020-01-08 14:00:00,2.889,2.895,2.895,2.893,3912.2
2020-01-08 14:30:00,2.835,2.843,2.841,2.836,5629.2
2020-01-08 15:00:00,2.844,2.849,2.845,2.849,5218.1
2020-01-08 15:30:00,2.811,2.82,2.82,2.811,5956.5
2020-01-08 16:00:00,2.831,2.838,2.833,2.838,2376.4
2020-01-08 16:30:00,2.792,2.805,2.805,2.8,11413.1
2020-01-08 17:00:00,2.738,2.74,2.74,2.74,2011.7
2020-01-08 17:30:00,2.752,2.769,2.756,2.752,4487.8
2020-01-08 18:00:00,2.739,2.752,2.752,2.747,2973.3
2020-01-08 18:30:00,2.746,2.756,2.756,2.751,6823.0
2020-01-08 19:00:00,2.747,2.756,2.747,2.753,4861.8
2020-01-08 19:30:00,2.738,2.743,2.74,2.741,3836.8
2020-01-08 20:00:00,2.731,2.744,2.731,2.743,3301.8
2020-01-08 20:30:00,2.741,2.752,2.75,2.741,5918.6
2020-01-08 21:00:00,2.755,2.763,2.763,2.755,2886.7
2020-01-08 21:30:00,2.777,2.778,2.777,2.777,1829.3
2020-01-08 22:00:00,2.759,2.764,2.761,2.761,8599.2
2020-01-08 22:30:00,2.759,2.764,2.764,2.762,3724.5
2020-01-08 23:00:00,2.79,2.79,2.79,2.79,1183.3
2020-01-08 23:30:00,2.796,2.798,2.796,2.798,2183.8
2020-01-09 00:00:00,2.774,2.779,2.777,2.774,7778.5
2020-01-09 00:30:00,2.773,2.779,2.774,2.775,1601.3
2020-01-09 01:00:00,2.761,2.765,2.765,2.765,2797.4
2020-01-09 01:30:00,2.781,2.787,2.782,2.786,2994.9
2020-01-09 02:00:00,2.785,2.792,2.791,2.792,3841.9
2020-01-09 02:30:00,2.776,2.779,2.779,2.776,2441.0
2020-01-09 03:00:00,2.774,2.774,2.774,2.774,885.1
2020-01-09 03:30:00,2.762,2.768,2.766,2.764,3906.5
2020-01-09 04:00:00,2.755,2.759,2.755,2.755,3830.6
2020-01-09 04:30:00,2.75,2.757,2.754,2.757,4054.9
2020-01-09 05:00:00,2.753,2.76,2.758,2.753,4345.9
2020-01-09 05:30:00,2.743,2.752,2.743,2.752,5278.4
2020-01-09 06:00:00,2.746,2.753,2.753,2.749,6012.0
2020-01-09 06:30:00,2.744,2.748,2.746,2.748,2167.4
2020-01-09 07:00:00,2.742,2.748,2.748,2.745,4714.7
2020-01-09 07:30:00,2.752,2.76,2.752,2.76,1904.9
2020-01-09 08:00:00,2.751,2.756,2.755,2.755,5015.8
2020-01-09 08:30:00,2.75,2.754,2.75,2.753,1704.1
2020-01-09 09:00:00,2.74,2.748,2.748,2.744,3555.3
2020-01-09 09:30:00,2.731,2.737,2.734,2.732,6994.4
2020-01-09 10:00:00,2.73,2.736,2.736,2.731,4570.3
2020-01-09 10:30:00,2.744,2.748,2.744,2.745,5015.9
2020-01-09 11:00:00,2.742,2.748,2.748,2.745,3598.0
2020-01-09 11:30:00,2.731,2.735,2.733,2.734,2881.0
2020-01-09 12:00:00,2.731,2.734,2.732,2.731,3838.1
2020-01-09 12:30:00,2.736,2.741,2.736,2.738,6861.6
2020-01-09 13:00:00,2.742,2.747,2.746,2.747,4163.8
2020-01-09 13:30:00,2.744,2.751,2.744,2.746,4942.8
2020-01-09 14:00:00,2.736,2.745,2.736,2.743,5121.4
