date,low,high,open,close,volume
2020-01-17 08:00:00,2.669,2.67,2.669,2.67,5209.44
2020-01-17 08:30:00,2.802,2.814,2.802,2.813,15237.01
2020-01-17 09:00:00,2.801,2.812,2.801,2.808,11879.17
2020-01-17 09:30:00,2.846,2.858,2.848,2.846,6906.89
2020-01-17 10:00:00,2.777,2.79,2.777,2.79,4007.93
2020-01-17 10:30:00,2.784,2.798,2.788,2.79,3735.42
2020-01-17 11:00:00,2.801,2.808,2.805,2.801,3445.87
2020-01-17 11:30:00,2.783,2.798,2.787,2.784,6477.2
2020-01-17 12:00:00,2.764,2.781,2.764,2.769,2892.05
2020-01-17 12:30:00,2.694,2.707,2.702,2.704,3212.31
2020-01-17 13:00:00,2.673,2.703,2.703,2.696,37996.23
2020-01-17 13:30:00,2.721,2.731,2.728,2.731,2958.88
2020-01-17 14:00:00,2.715,2.723,2.715,2.719,3289.96
2020-01-17 14:30:00,2.665,2.676,2.675,2.665,3707.45
2020-01-17 15:00:00,2.667,2.673,2.669,2.667,8091.82
2020-01-17 15:30:00,2.702,2.706,2.704,2.702,6117.94
2020-01-17 16:00:00,2.725,2.746,2.725,2.741,13409.2
2020-01-17 16:30:00,2.747,2.75,2.75,2.749,6533.71
2020-01-17 17:00:00,2.7,2.731,2.725,2.713,12326.7
2020-01-17 17:30:00,2.733,2.743,2.739,2.739,3605.49
2020-01-17 18:00:00,2.729,2.738,2.732,2.736,8846.15
2020-01-17 18:30:00,2.735,2.74,2.74,2.74,3467.53
2020-01-17 19:00:00,2.755,2.762,2.762,2.755,8841.57
2020-01-17 19:30:00,2.747,2.752,2.752,2.749,2489.51
2020-01-17 20:00:00,2.659,2.679,2.679,2.665,9311.33
2020-01-17 20:30:00,2.691,2.698,2.697,2.697,4981.69
2020-01-17 21:00:00,2.684,2.692,2.685,2.692,3980.37
2020-01-17 21:30:00,2.69,2.698,2.698,2.69,3393.28
2020-01-17 22:00:00,2.672,2.679,2.674,2.679,3215.63
2020-01-17 22:30:00,2.673,2.679,2.678,2.679,5511.68
2020-01-17 23:00:00,2.721,2.724,2.721,2.721,2927.66
2020-01-17 23:30:00,2.727,2.745,2.736,2.745,3666.15
2020-01-18 00:00:00,2.687,2.701,2.696,2.687,12996.65
