date,low,high,open,close,volume
2020-02-20 08:30:00,2.402,2.409,2.409,2.403,772.9
2020-02-20 09:00:00,2.417,2.428,2.423,2.417,13.4
2020-02-20 09:30:00,2.397,2.4,2.397,2.4,87.2
2020-02-20 10:00:00,2.425,2.431,2.43,2.429,210.4
2020-02-20 10:30:00,2.451,2.452,2.451,2.452,293.1
2020-02-20 11:00:00,2.445,2.445,2.445,2.445,68.1
2020-02-20 11:30:00,2.435,2.436,2.436,2.435,675.0
2020-02-20 12:00:00,2.387,2.398,2.389,2.398,273.3
2020-02-20 12:30:00,2.386,2.387,2.387,2.387,18.5
2020-02-20 13:00:00,2.35,2.363,2.355,2.35,59.4
2020-02-20 13:30:00,2.355,2.365,2.365,2.365,1171.3
2020-02-20 14:00:00,2.379,2.383,2.381,2.379,108.4
2020-02-20 14:30:00,2.391,2.396,2.396,2.391,49.1
2020-02-20 15:00:00,2.382,2.382,2.382,2.382,275.0
2020-02-20 15:30:00,2.37,2.377,2.377,2.37,33.3
2020-02-20 16:00:00,2.351,2.369,2.362,2.351,440.1
2020-02-20 16:30:00,2.335,2.346,2.346,2.335,11.4
2020-02-20 17:00:00,2.377,2.391,2.38,2.391,144.7
2020-02-20 17:30:00,2.339,2.362,2.339,2.361,166.0
2020-02-20 18:00:00,2.353,2.365,2.365,2.36,1335.5
2020-02-20 18:30:00,2.337,2.361,2.338,2.361,570.3
2020-02-20 19:00:00,2.339,2.344,2.34,2.339,574.3
2020-02-20 19:30:00,2.347,2.347,2.347,2.347,64.9
2020-02-20 20:00:00,2.352,2.362,2.352,2.362,783.0
2020-02-20 20:30:00,2.35,2.355,2.352,2.355,18.1
2020-02-20 21:00:00,2.366,2.37,2.366,2.37,29.7
2020-02-20 21:30:00,2.375,2.386,2.375,2.386,15.9
2020-02-20 22:00:00,2.394,2.396,2.394,2.396,73.4
2020-02-20 22:30:00,2.396,2.404,2.397,2.404,239.2
2020-02-20 23:00:00,2.384,2.39,2.39,2.388,407.7
2020-02-20 23:30:00,2.416,2.419,2.416,2.417,75.4
2020-02-21 00:00:00,2.391,2.397,2.391,2.395,382.4
2020-02-21 00:30:00,2.369,2.377,2.377,2.369,1067.4
2020-02-21 01:00:00,2.374,2.38,2.376,2.374,13.1
2020-02-21 01:30:00,2.412,2.416,2.416,2.412,35.8
2020-02-21 02:00:00,2.421,2.422,2.422,2.421,54.1
2020-02-21 02:30:00,2.437,2.439,2.437,2.439,57.1
2020-02-21 03:00:00,2.423,2.429,2.429,2.428,18.7
2020-02-21 03:30:00,2.439,2.439,2.439,2.439,2454.7
2020-02-21 04:00:00,2.445,2.449,2.445,2.449,4768.1
2020-02-21 04:30:00,2.429,2.433,2.433,2.431,15.6
2020-02-21 05:00:00,2.433,2.434,2.433,2.434,14.3
2020-02-21 05:30:00,2.421,2.427,2.427,2.421,12.4
2020-02-21 06:00:00,2.412,2.417,2.414,2.415,333.2
2020-02-21 06:30:00,2.425,2.425,2.425,2.425,15.9
2020-02-21 07:00:00,2.415,2.418,2.415,2.415,137.5
2020-02-21 07:30:00,2.421,2.422,2.421,2.422,20.8
2020-02-21 08:00:00,2.416,2.416,2.416,2.416,9.1
2020-02-21 08:30:00,2.401,2.41,2.41,2.403,632.3
2020-02-21 09:00:00,2.386,2.392,2.392,2.386,663.5
2020-02-21 09:30:00,2.385,2.389,2.389,2.386,26.4
2020-02-21 10:00:00,2.418,2.42,2.42,2.418,1024.1
2020-02-21 10:30:00,2.418,2.418,2.418,2.418,10.8
2020-02-21 11:00:00,2.425,2.43,2.429,2.43,17.4
2020-02-21 11:30:00,2.444,2.445,2.445,2.444,600.2
2020-02-21 12:00:00,2.422,2.424,2.422,2.423,140.1
2020-02-21 12:30:00,2.458,2.461,2.461,2.461,840.5
2020-02-21 13:00:00,2.454,2.46,2.46,2.454,14.8
2020-02-21 13:30:00,2.445,2.453,2.453,2.445,22.7
2020-02-21 14:00:00,2.446,2.452,2.446,2.452,27.0
2020-02-21 14:30:00,2.448,2.448,2.448,2.448,15.5
2020-02-21 15:00:00,2.429,2.429,2.429,2.429,19.7
2020-02-21 15:30:00,2.43,2.435,2.435,2.431,24.8
2020-02-21 16:00:00,2.439,2.443,2.439,2.442,109.2
2020-02-21 16:30:00,2.439,2.444,2.439,2.444,30.9
