date,low,high,open,close,volume
2020-02-03 08:30:00,76.76,77.21,76.82,76.81,412.157
2020-02-03 09:00:00,76.61,76.7,76.66,76.63,148.759
2020-02-03 09:30:00,76.46,76.56,76.5,76.56,184.93
2020-02-03 10:00:00,76.11,76.17,76.12,76.15,217.26
2020-02-03 10:30:00,76.1,76.15,76.11,76.1,144.083
2020-02-03 11:00:00,76.5,76.51,76.5,76.5,215.057
2020-02-03 11:30:00,77.85,78.12,77.85,78.12,462.336
2020-02-03 12:00:00,77.43,77.48,77.44,77.48,156.337
2020-02-03 12:30:00,77.67,77.8,77.77,77.77,231.607
2020-02-03 13:00:00,77.35,77.46,77.39,77.35,142.204
2020-02-03 13:30:00,77.2,77.27,77.2,77.25,139.479
2020-02-03 14:00:00,77.21,77.39,77.35,77.32,189.072
2020-02-03 14:30:00,77.52,77.73,77.71,77.62,280.492
2020-02-03 15:00:00,77.77,77.85,77.8,77.84,124.776
2020-02-03 15:30:00,77.41,77.6,77.56,77.41,810.854
2020-02-03 16:00:00,76.2,76.69,76.69,76.32,766.574
2020-02-03 16:30:00,77.06,77.19,77.06,77.09,249.411
2020-02-03 17:00:00,77.09,77.18,77.18,77.09,145.224
2020-02-03 17:30:00,77.32,77.39,77.35,77.32,292.89
2020-02-03 18:00:00,77.11,77.19,77.16,77.11,124.41
2020-02-03 18:30:00,77.48,77.5,77.49,77.5,117.035
2020-02-03 19:00:00,77.5,77.7,77.52,77.61,249.312
2020-02-03 19:30:00,77.39,77.5,77.39,77.47,125.575
2020-02-03 20:00:00,77.17,77.18,77.17,77.17,57.912
2020-02-03 20:30:00,77.1,77.25,77.24,77.1,54.007
2020-02-03 21:00:00,77.03,77.12,77.09,77.04,98.209
2020-02-03 21:30:00,77.07,77.13,77.09,77.07,73.008
2020-02-03 22:00:00,77.13,77.26,77.16,77.16,135.979
2020-02-03 22:30:00,76.85,76.89,76.85,76.86,62.956
2020-02-03 23:00:00,76.87,77.01,76.99,76.92,149.571
2020-02-03 23:30:00,76.76,76.87,76.84,76.84,167.356
2020-02-04 00:00:00,76.71,76.89,76.73,76.83,171.241
2020-02-04 00:30:00,76.94,77.1,77.08,77.0,193.03
2020-02-04 01:00:00,76.59,76.68,76.59,76.63,173.76
2020-02-04 01:30:00,76.5,76.57,76.57,76.5,231.252
2020-02-04 02:00:00,76.01,76.11,76.01,76.1,240.801
2020-02-04 02:30:00,76.31,76.39,76.33,76.34,139.427
2020-02-04 03:00:00,76.24,76.33,76.28,76.27,251.648
2020-02-04 03:30:00,76.09,76.19,76.16,76.19,178.155
2020-02-04 04:00:00,75.97,76.05,76.01,76.01,170.919
2020-02-04 04:30:00,75.96,76.04,75.96,75.98,127.013
2020-02-04 05:00:00,75.78,75.89,75.89,75.84,245.675
2020-02-04 05:30:00,75.6,75.73,75.6,75.72,144.206
2020-02-04 06:00:00,75.82,76.0,75.97,75.91,71.308
2020-02-04 06:30:00,75.66,75.78,75.71,75.75,199.768
2020-02-04 07:00:00,75.66,75.75,75.7,75.69,120.621
2020-02-04 07:30:00,75.6,75.66,75.65,75.63,108.22
2020-02-04 08:00:00,75.32,75.52,75.32,75.47,397.298
2020-02-04 08:30:00,75.36,75.45,75.37,75.42,251.675
2020-02-04 09:00:00,75.03,75.33,75.21,75.13,292.841
2020-02-04 09:30:00,74.48,74.61,74.59,74.59,150.675
2020-02-04 10:00:00,74.02,74.2,74.2,74.14,251.942
2020-02-04 10:30:00,74.25,74.35,74.34,74.35,182.236
2020-02-04 11:00:00,74.13,74.2,74.18,74.18,140.709
2020-02-04 11:30:00,74.41,74.88,74.8,74.63,439.876
2020-02-04 12:00:00,74.49,74.61,74.5,74.58,121.662
2020-02-04 12:30:00,73.96,74.1,74.04,74.04,144.12
