Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window
235.69,25.1,252,252,0,0,180.37969040187218,752.056879816026,USDT_ADA,Classic_No_Volume,None,5
300.87,46.65,156,155,0,0,176.29303207825203,590.370184424182,USDT_BTC,Classic_No_Volume,None,5
465.69,55.41,158,157,0,0,196.77882393322076,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,5
13.31,52.98,274,274,0,0,326.2246943142466,536.2667006478547,USDT_XRP,Classic_No_Volume,None,5
197.62,98.64,185,184,0,0,309.1397376423438,434.20025721730667,USDT_LTC,Classic_No_Volume,None,5
235.69,50.33,169,169,0,0,202.98921494834593,752.056879816026,USDT_ADA,Classic_No_Volume,None,6
197.62,90.44,120,120,0,0,207.66478707561933,434.20025721730667,USDT_LTC,Classic_No_Volume,None,6
300.87,44.44,107,106,0,0,155.1450870114244,590.370184424182,USDT_BTC,Classic_No_Volume,None,6
13.31,-11.95,186,186,0,0,213.9720023465243,536.2667006478547,USDT_XRP,Classic_No_Volume,None,6
465.69,16.28,96,96,0,0,163.29008627895269,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,6
235.69,53.5,124,124,0,0,229.02597012925693,752.056879816026,USDT_ADA,Classic_No_Volume,None,7
300.87,5.41,68,68,0,0,119.33572050973657,590.370184424182,USDT_BTC,Classic_No_Volume,None,7
465.69,-9.24,66,66,0,0,136.6366064280909,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,7
13.31,-27.06,130,130,0,0,196.59884806320937,536.2667006478547,USDT_XRP,Classic_No_Volume,None,7
197.62,28.88,78,78,0,0,183.34729678720802,434.20025721730667,USDT_LTC,Classic_No_Volume,None,7
235.69,9.9,89,89,0,0,197.7533332237726,752.056879816026,USDT_ADA,Classic_No_Volume,None,8
300.87,7.47,54,54,0,0,102.6501870540575,590.370184424182,USDT_BTC,Classic_No_Volume,None,8
13.31,-21.66,97,95,0,0,219.0454073414727,536.2667006478547,USDT_XRP,Classic_No_Volume,None,8
197.62,19.84,55,55,0,0,162.58650077731153,434.20025721730667,USDT_LTC,Classic_No_Volume,None,8
465.69,-8.32,55,55,0,0,142.9019483870982,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,8
235.69,-11.61,63,63,0,0,181.19838934113565,752.056879816026,USDT_ADA,Classic_No_Volume,None,9
197.62,5.4,38,38,0,0,151.37269552153987,434.20025721730667,USDT_LTC,Classic_No_Volume,None,9
13.31,-18.12,74,72,0,0,194.30942560183266,536.2667006478547,USDT_XRP,Classic_No_Volume,None,9
465.69,-10.12,44,44,0,0,176.98419467743884,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,9
300.87,-26.22,39,39,0,0,161.54614279364787,590.370184424182,USDT_BTC,Classic_No_Volume,None,9
235.69,-3.72,53,53,0,0,164.89585846155168,752.056879816026,USDT_ADA,Classic_No_Volume,None,10
197.62,2.48,32,32,0,0,145.12288563866258,434.20025721730667,USDT_LTC,Classic_No_Volume,None,10
300.87,-6.37,32,32,0,0,130.73875339656985,590.370184424182,USDT_BTC,Classic_No_Volume,None,10
465.69,9.5,34,34,0,0,181.1409458881829,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,10
13.31,-37.69,55,53,0,0,118.08132192296178,536.2667006478547,USDT_XRP,Classic_No_Volume,None,10
235.69,57.48,43,43,0,0,257.9859896686755,752.056879816026,USDT_ADA,Classic_No_Volume,None,11
465.69,-5.9,26,26,0,0,162.67905657007492,1107.8330150165252,USDT_ETH,Classic_No_Volume,None,11
197.62,57.08,29,29,0,0,190.20159111105878,434.20025721730667,USDT_LTC,Classic_No_Volume,None,11
13.31,-70.43,39,37,0,0,177.643268547706,536.2667006478547,USDT_XRP,Classic_No_Volume,None,11
300.87,18.82,28,28,0,0,122.8729094905634,590.370184424182,USDT_BTC,Classic_No_Volume,None,11
235.69,113.09,34,34,0,0,408.3290812127716,752.056879816026,USDT_ADA,Classic_No_Volume,None,12
300.87,27.44,25,25,0,0,135.77733663525584,590.370184424182,USDT_BTC,Classic_No_Volume,None,12
