Net Return,Price Window,Volume_Window
-1201.01,0,0
-1201.0100000000002,0,2
-1201.01,0,4
-1201.01,0,6
-1201.01,0,8
-1201.0099999999998,0,10
-1201.0099999999998,0,12
-1201.0099999999998,0,14
-1201.0100000000002,0,16
-1201.01,0,18
-1201.01,0,20
-1201.0100000000002,0,22
-1201.01,0,24
-1201.0099999999998,0,26
-1201.01,0,28
-1201.01,0,30
-1201.01,0,32
-1201.0099999999998,0,34
-1201.01,0,36
-1201.01,0,38
-1201.0099999999998,0,40
-1201.01,0,42
-1201.01,0,44
-1201.0100000000002,0,46
-1201.0099999999998,0,48
-1201.01,2,0
2184.0,2,2
382.1800000000003,2,4
131.50999999999976,2,6
28.1099999999999,2,8
283.0799999999999,2,10
202.0600000000004,2,12
197.54999999999973,2,14
35.16000000000008,2,16
227.01999999999998,2,18
164.72000000000003,2,20
76.49999999999977,2,22
99.77000000000021,2,24
297.79999999999995,2,26
290.45000000000005,2,28
535.7,2,30
120.31999999999971,2,32
299.95000000000005,2,34
349.3799999999999,2,36
289.31999999999994,2,38
310.21000000000004,2,40
446.3300000000004,2,42
348.74000000000024,2,44
229.55999999999995,2,46
314.5,2,48
-1201.0100000000002,4,0
950.1899999999998,4,2
397.3800000000001,4,4
-59.75999999999999,4,6
-287.34000000000003,4,8
-172.57999999999993,4,10
-188.81999999999994,4,12
-161.73999999999978,4,14
-198.9200000000002,4,16
-208.02999999999997,4,18
-247.29999999999973,4,20
-178.9699999999999,4,22
-195.25,4,24
-35.67000000000007,4,26
239.95000000000005,4,28
512.1500000000001,4,30
134.48999999999978,4,32
40.63000000000011,4,34
233.93999999999983,4,36
264.27,4,38
199.73000000000002,4,40
165.14999999999986,4,42
48.62000000000012,4,44
-120.79999999999995,4,46
-39.930000000000064,4,48
-1201.01,6,0
721.5300000000002,6,2
413.70000000000005,6,4
196.37000000000012,6,6
-227.09999999999968,6,8
-176.99,6,10
-198.05000000000007,6,12
-210.5,6,14
-137.92999999999984,6,16
-260.11,6,18
-146.83999999999992,6,20
-196.79999999999973,6,22
-205.37,6,24
-75.67000000000007,6,26
28.180000000000064,6,28
175.4100000000003,6,30
121.56000000000017,6,32
46.69000000000028,6,34
240.90999999999985,6,36
225.29999999999995,6,38
187.5,6,40
119.87000000000012,6,42
21.309999999999718,6,44
-141.8599999999999,6,46
-37.99000000000001,6,48
-1201.0099999999998,8,0
8.680000000000064,8,2
-191.20000000000005,8,4
-254.14,8,6
-458.8699999999998,8,8
-435.28999999999985,8,10
-525.0500000000001,8,12
-588.3099999999998,8,14
-523.67,8,16
-587.25,8,18
-576.9,8,20
-544.1300000000001,8,22
-570.48,8,24
-569.6600000000002,8,26
-499.14,8,28
-396.03,8,30
-403.52,8,32
-397.8599999999998,8,34
-235.07000000000005,8,36
-256.4999999999998,8,38
-206.53999999999962,8,40
-252.89999999999998,8,42
-336.59000000000003,8,44
-431.2399999999998,8,46
-352.36000000000024,8,48
-1201.0099999999998,10,0
-142.1400000000001,10,2
-338.6500000000001,10,4
-381.03999999999974,10,6
-618.6199999999998,10,8
-624.59,10,10
-627.64,10,12
-656.4599999999997,10,14
-594.93,10,16
-648.8499999999998,10,18
-618.5899999999999,10,20
-514.03,10,22
-555.8800000000002,10,24
-574.21,10,26
-492.3699999999998,10,28
-457.93999999999994,10,30
-492.49,10,32
-453.48,10,34
-322.72000000000014,10,36
-282.97,10,38
-272.91999999999973,10,40
-328.88,10,42
-347.2800000000002,10,44
-452.03999999999974,10,46
-341.0699999999997,10,48
-1201.01,12,0
-98.75999999999999,12,2
-299.20000000000005,12,4
-93.46000000000004,12,6
-260.98,12,8
-362.15,12,10
-386.02999999999975,12,12
-496.15999999999997,12,14
-499.4200000000001,12,16
-509.12999999999977,12,18
