Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,,
235.69,40.47,592,591,0,0,198.6228456,752.0568798,USDT_ADA,Classic_No_Volume,None,5,-195.22,
197.62,371.67,470,469,0,0,763.1422091,434.2002572,USDT_LTC,Classic_No_Volume,None,5,174.05,
13.31,126.95,662,662,0,0,562.0817801,536.2667006,USDT_XRP,Classic_No_Volume,None,5,113.64,-90.328
465.69,144.61,378,377,0,0,320.0586068,1107.833015,USDT_ETH,Classic_No_Volume,None,5,-321.08,
300.87,77.84,370,370,0,0,224.7422015,590.3701844,USDT_BTC,Classic_No_Volume,None,5,-223.03,
235.69,47.23,462,461,0,0,210.0366676,752.0568798,USDT_ADA,Classic_No_Volume,None,6,-188.46,
197.62,267.3,334,334,0,0,539.2919088,434.2002572,USDT_LTC,Classic_No_Volume,None,6,69.68,
300.87,118.28,275,275,0,0,278.5582896,590.3701844,USDT_BTC,Classic_No_Volume,None,6,-182.59,-80.326
13.31,186.5,484,484,0,0,885.9574614,536.2667006,USDT_XRP,Classic_No_Volume,None,6,173.19,
465.69,192.24,284,283,0,0,401.8593543,1107.833015,USDT_ETH,Classic_No_Volume,None,6,-273.45,
235.69,75.58,346,345,0,0,210.1556066,752.0568798,USDT_ADA,Classic_No_Volume,None,7,-160.11,
465.69,123.41,216,215,0,0,261.5804092,1107.833015,USDT_ETH,Classic_No_Volume,None,7,-342.28,
197.62,196.35,261,260,0,0,589.5443846,434.2002572,USDT_LTC,Classic_No_Volume,None,7,-1.27,-133.858
300.87,68.62,207,206,0,0,185.3419268,590.3701844,USDT_BTC,Classic_No_Volume,None,7,-232.25,
13.31,79.93,366,366,0,0,560.6852338,536.2667006,USDT_XRP,Classic_No_Volume,None,7,66.62,
235.69,1.18,266,266,0,0,139.671666,752.0568798,USDT_ADA,Classic_No_Volume,None,8,-234.51,
197.62,122.9,199,198,0,0,344.3355811,434.2002572,USDT_LTC,Classic_No_Volume,None,8,-74.72,
13.31,13.2,288,288,0,0,356.4623423,536.2667006,USDT_XRP,Classic_No_Volume,None,8,-0.11,-187.026
465.69,82.45,164,163,0,0,229.7966038,1107.833015,USDT_ETH,Classic_No_Volume,None,8,-383.24,
300.87,58.32,172,171,0,0,202.5311503,590.3701844,USDT_BTC,Classic_No_Volume,None,8,-242.55,
235.69,96.71,223,223,0,0,264.8647501,752.0568798,USDT_ADA,Classic_No_Volume,None,9,-138.98,
300.87,69.66,140,139,0,0,189.6125711,590.3701844,USDT_BTC,Classic_No_Volume,None,9,-231.21,
197.62,106.53,149,149,0,0,326.1894851,434.2002572,USDT_LTC,Classic_No_Volume,None,9,-91.09,-185.952
465.69,8.88,125,124,0,0,148.2077922,1107.833015,USDT_ETH,Classic_No_Volume,None,9,-456.81,
13.31,1.64,224,224,0,0,230.1085919,536.2667006,USDT_XRP,Classic_No_Volume,None,9,-11.67,
235.69,67.01,179,179,0,0,236.0125578,752.0568798,USDT_ADA,Classic_No_Volume,None,10,-168.68,
13.31,-23.47,190,190,0,0,156.7932629,536.2667006,USDT_XRP,Classic_No_Volume,None,10,-36.78,
300.87,28.58,104,103,0,0,138.5727577,590.3701844,USDT_BTC,Classic_No_Volume,None,10,-272.29,-216.718
465.69,14.44,100,100,0,0,147.8893596,1107.833015,USDT_ETH,Classic_No_Volume,None,10,-451.25,
197.62,43.03,119,119,0,0,178.1828581,434.2002572,USDT_LTC,Classic_No_Volume,None,10,-154.59,
235.69,53.93,146,146,0,0,251.1222638,752.0568798,USDT_ADA,Classic_No_Volume,None,11,-181.76,
13.31,-24.75,168,168,0,0,162.9434888,536.2667006,USDT_XRP,Classic_No_Volume,None,11,-38.06,
300.87,22.99,88,88,0,0,128.5848184,590.3701844,USDT_BTC,Classic_No_Volume,None,11,-277.88,-226.93
197.62,7.57,97,97,0,0,158.1617016,434.2002572,USDT_LTC,Classic_No_Volume,None,11,-190.05,
465.69,18.79,87,87,0,0,172.1744303,1107.833015,USDT_ETH,Classic_No_Volume,None,11,-446.9,
235.69,43.21,130,130,0,0,239.8529038,752.0568798,USDT_ADA,Classic_No_Volume,None,12,-192.48,
465.69,13.7,74,74,0,0,147.808376,1107.833015,USDT_ETH,Classic_No_Volume,None,12,-451.99,
300.87,-2.56,70,70,0,0,109.1393391,590.3701844,USDT_BTC,Classic_No_Volume,None,12,-303.43,-230.354
197.62,20.49,83,83,0,0,137.1794513,434.2002572,USDT_LTC,Classic_No_Volume,None,12,-177.13,
13.31,-13.43,141,141,0,0,194.6408035,536.2667006,USDT_XRP,Classic_No_Volume,None,12,-26.74,
235.69,35.4,114,114,0,0,217.255982,752.0568798,USDT_ADA,Classic_No_Volume,None,13,-200.29,
13.31,-10.2,119,117,0,0,222.2267385,536.2667006,USDT_XRP,Classic_No_Volume,None,13,-23.51,
465.69,16.8,65,65,0,0,140.4113434,1107.833015,USDT_ETH,Classic_No_Volume,None,13,-448.89,-223.67
300.87,6.3,63,63,0,0,103.1602004,590.3701844,USDT_BTC,Classic_No_Volume,None,13,-294.57,
197.62,46.53,74,74,0,0,142.9480928,434.2002572,USDT_LTC,Classic_No_Volume,None,13,-151.09,
235.69,27.17,98,98,0,0,220.7213927,752.0568798,USDT_ADA,Classic_No_Volume,None,14,-208.52,
197.62,16.97,62,62,0,0,130.0710356,434.2002572,USDT_LTC,Classic_No_Volume,None,14,-180.65,
13.31,-24.65,102,100,0,0,203.0389525,536.2667006,USDT_XRP,Classic_No_Volume,None,14,-37.96,-237.492
465.69,-9.62,56,56,0,0,151.3494797,1107.833015,USDT_ETH,Classic_No_Volume,None,14,-475.31,
300.87,15.85,58,58,0,0,113.5333193,590.3701844,USDT_BTC,Classic_No_Volume,None,14,-285.02,
235.69,36.85,87,87,0,0,229.739563,752.0568798,USDT_ADA,Classic_No_Volume,None,15,-198.84,
465.69,-7.86,50,50,0,0,142.5443713,1107.833015,USDT_ETH,Classic_No_Volume,None,15,-473.55,
300.87,14.19,51,51,0,0,95.37376416,590.3701844,USDT_BTC,Classic_No_Volume,None,15,-286.68,-230.386
197.62,26.76,54,54,0,0,139.826494,434.2002572,USDT_LTC,Classic_No_Volume,None,15,-170.86,
13.31,-8.69,96,94,0,0,260.2739001,536.2667006,USDT_XRP,Classic_No_Volume,None,15,-22,
235.69,63.88,71,71,0,0,282.3996923,752.0568798,USDT_ADA,Classic_No_Volume,None,16,-171.81,
197.62,24.54,48,48,0,0,128.1076964,434.2002572,USDT_LTC,Classic_No_Volume,None,16,-173.08,
300.87,3.87,46,46,0,0,99.25342378,590.3701844,USDT_BTC,Classic_No_Volume,None,16,-297,-232.906
13.31,-45.18,79,77,0,0,112.4385626,536.2667006,USDT_XRP,Classic_No_Volume,None,16,-58.49,
465.69,1.54,47,47,0,0,140.6502406,1107.833015,USDT_ETH,Classic_No_Volume,None,16,-464.15,
235.69,16.04,61,61,0,0,187.1553712,752.0568798,USDT_ADA,Classic_No_Volume,None,17,-219.65,
465.69,2.05,41,41,0,0,132.6680455,1107.833015,USDT_ETH,Classic_No_Volume,None,17,-463.64,
13.31,-46.45,72,70,0,0,131.6119204,536.2667006,USDT_XRP,Classic_No_Volume,None,17,-59.76,-251.1
300.87,-12.31,37,37,0,0,105.976552,590.3701844,USDT_BTC,Classic_No_Volume,None,17,-313.18,
197.62,-1.65,43,43,0,0,141.3323569,434.2002572,USDT_LTC,Classic_No_Volume,None,17,-199.27,
235.69,4.48,57,57,0,0,172.3627926,752.0568798,USDT_ADA,Classic_No_Volume,None,18,-231.21,
465.69,-19.13,35,35,0,0,157.3334218,1107.833015,USDT_ETH,Classic_No_Volume,None,18,-484.82,
300.87,3.23,33,33,0,0,84.54476895,590.3701844,USDT_BTC,Classic_No_Volume,None,18,-297.64,-255.442
13.31,-52.49,66,64,0,0,125.0123509,536.2667006,USDT_XRP,Classic_No_Volume,None,18,-65.8,
197.62,-0.12,35,35,0,0,142.1465762,434.2002572,USDT_LTC,Classic_No_Volume,None,18,-197.74,
235.69,45.33,56,56,0,0,242.1428219,752.0568798,USDT_ADA,Classic_No_Volume,None,19,-190.36,
13.31,-55.38,57,55,0,0,144.9746835,536.2667006,USDT_XRP,Classic_No_Volume,None,19,-68.69,
465.69,-15.47,33,33,0,0,155.5338962,1107.833015,USDT_ETH,Classic_No_Volume,None,19,-481.16,-246.03
300.87,17.94,33,33,0,0,98.90957774,590.3701844,USDT_BTC,Classic_No_Volume,None,19,-282.93,
197.62,-9.39,31,31,0,0,149.5989532,434.2002572,USDT_LTC,Classic_No_Volume,None,19,-207.01,
