Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window,
197.62,2442.76,3864,3862,0,0,4903.091151,434.2002572,USDT_LTC,exp_no_volume,0,4,0,2245.14
197.62,2237.81,3477,3476,0,0,4420.446062,434.2002572,USDT_LTC,exp_no_volume,0,5,0,2040.19
197.62,2179.23,4271,4269,0,0,4582.706107,434.2002572,USDT_LTC,exp_no_volume,0,3,0,1981.61
197.62,2058.63,3110,3109,0,0,3777.105347,434.2002572,USDT_LTC,exp_no_volume,0,6,0,1861.01
197.62,2052.75,4940,4938,0,0,4978.124612,434.2002572,USDT_LTC,exp_no_volume,0,2,0,1855.13
197.62,1816.81,2905,2904,0,0,3368.818351,434.2002572,USDT_LTC,exp_no_volume,0,7,0,1619.19
197.62,1460.42,2702,2701,0,0,2825.477044,434.2002572,USDT_LTC,exp_no_volume,0,8,0,1262.8
197.62,1444.53,2299,2298,0,0,2799.967217,434.2002572,USDT_LTC,exp_no_volume,0,11,0,1246.91
197.62,1374.26,2522,2521,0,0,2645.462724,434.2002572,USDT_LTC,exp_no_volume,0,9,0,1176.64
197.62,1339.2,2210,2209,0,0,2658.627309,434.2002572,USDT_LTC,exp_no_volume,0,12,0,1141.58
197.62,1302.93,2339,2338,0,0,2524.117858,434.2002572,USDT_LTC,exp_no_volume,0,10,0,1105.31
197.62,1293.89,2036,2035,0,0,2640.524862,434.2002572,USDT_LTC,exp_no_volume,0,15,0,1096.27
197.62,1286.15,2069,2068,0,0,2548.211161,434.2002572,USDT_LTC,exp_no_volume,0,14,0,1088.53
197.62,1270.13,1974,1973,0,0,2580.498968,434.2002572,USDT_LTC,exp_no_volume,0,16,0,1072.51
197.62,1145.73,2128,2127,0,0,2364.192943,434.2002572,USDT_LTC,exp_no_volume,0,13,0,948.11
197.62,1004.57,1834,1833,0,0,2033.859011,434.2002572,USDT_LTC,exp_no_volume,0,18,0,806.95
197.62,986.27,1869,1868,0,0,1986.810371,434.2002572,USDT_LTC,exp_no_volume,0,17,0,788.65
197.62,813.17,1726,1725,0,0,1635.58584,434.2002572,USDT_LTC,exp_no_volume,0,19,0,615.55
197.62,811.05,1645,1644,0,0,1769.190982,434.2002572,USDT_LTC,exp_no_volume,0,21,0,613.43
197.62,785.89,1676,1675,0,0,1597.520486,434.2002572,USDT_LTC,exp_no_volume,0,20,0,588.27
197.62,716.74,1460,1459,0,0,1466.760045,434.2002572,USDT_LTC,exp_no_volume,0,26,0,519.12
197.62,663.25,1504,1503,0,0,1388.760431,434.2002572,USDT_LTC,exp_no_volume,0,24,0,465.63
197.62,637.89,1435,1433,0,0,1323.267313,434.2002572,USDT_LTC,exp_no_volume,0,27,0,440.27
197.62,628.67,1585,1584,0,0,1353.562934,434.2002572,USDT_LTC,exp_no_volume,0,22,0,431.05
197.62,617.64,1484,1483,0,0,1317.855751,434.2002572,USDT_LTC,exp_no_volume,0,25,0,420.02
235.69,635.39,5204,5204,0,0,1819.509617,752.0568798,USDT_ADA,exp_no_volume,0,2,0,399.7
197.62,571.95,1510,1509,0,0,1211.528629,434.2002572,USDT_LTC,exp_no_volume,0,23,0,374.33
197.62,509.51,1331,1330,0,0,1067.02372,434.2002572,USDT_LTC,exp_no_volume,0,29,0,311.89
197.62,481.42,1360,1358,0,0,1002.610221,434.2002572,USDT_LTC,exp_no_volume,0,28,0,283.8
197.62,469.17,1304,1303,0,0,1010.786674,434.2002572,USDT_LTC,exp_no_volume,0,30,0,271.55
-12.85,255.54,2134,2134,0,0,650.5810639,138.1956851,USDT_DASH,exp_no_volume,0,6,0,268.39
197.62,445.11,1228,1226,0,0,1012.767197,434.2002572,USDT_LTC,exp_no_volume,0,35,0,247.49
197.62,438.38,1282,1281,0,0,969.5961305,434.2002572,USDT_LTC,exp_no_volume,0,31,0,240.76
197.62,434.44,1252,1251,0,0,975.9497549,434.2002572,USDT_LTC,exp_no_volume,0,32,0,236.82
