Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,standard_no_volume,0,0,0
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,standard_no_volume,0,0,0
235.69,0,0,0,0,0,0,752.0568798,USDT_ADA,standard_no_volume,0,0,0
465.69,0,0,0,0,0,0,1107.833015,USDT_ETH,standard_no_volume,0,0,0
300.87,0,0,0,0,0,0,590.3701844,USDT_BTC,standard_no_volume,0,0,0
197.62,0,0,0,0,0,0,434.2002572,USDT_LTC,standard_no_volume,0,0,0
13.31,0,0,0,0,0,0,536.2667006,USDT_XRP,standard_no_volume,0,0,0
0.68,59.32,4263,4263,0,0,393.2692546,307.88158,USDT_NEO,standard_no_volume,0,2,0
-12.85,80.5,4276,4276,0,0,284.7598053,138.1956851,USDT_DASH,standard_no_volume,0,2,0
235.69,796.98,6178,6178,0,0,2548.898663,752.0568798,USDT_ADA,standard_no_volume,0,2,0
197.62,2270.8,6003,6001,0,0,6023.220448,434.2002572,USDT_LTC,standard_no_volume,0,2,0
13.31,125.37,6889,6887,0,0,1048.264272,536.2667006,USDT_XRP,standard_no_volume,0,2,0
300.87,240.23,4862,4861,0,0,561.1561942,590.3701844,USDT_BTC,standard_no_volume,0,2,0
465.69,843.05,4856,4855,0,0,2402.055516,1107.833015,USDT_ETH,standard_no_volume,0,2,0
0.68,122.77,2609,2609,0,0,541.4313399,307.88158,USDT_NEO,standard_no_volume,0,4,0
-12.85,89.15,2654,2654,0,0,354.2027461,138.1956851,USDT_DASH,standard_no_volume,0,4,0
235.69,316.46,4315,4315,0,0,1005.980207,752.0568798,USDT_ADA,standard_no_volume,0,4,0
13.31,49.24,4883,4882,0,0,703.574141,536.2667006,USDT_XRP,standard_no_volume,0,4,0
197.62,2558.93,4048,4046,0,0,5337.18506,434.2002572,USDT_LTC,standard_no_volume,0,4,0
300.87,53.41,2914,2913,0,0,174.8993264,590.3701844,USDT_BTC,standard_no_volume,0,4,0
465.69,392.94,2986,2985,0,0,1009.450727,1107.833015,USDT_ETH,standard_no_volume,0,4,0
-12.85,202.78,2077,2077,0,0,613.5624863,138.1956851,USDT_DASH,standard_no_volume,0,6,0
0.68,77.32,1994,1994,0,0,369.9839797,307.88158,USDT_NEO,standard_no_volume,0,6,0
235.69,188.91,3385,3385,0,0,531.0912705,752.0568798,USDT_ADA,standard_no_volume,0,6,0
300.87,125.61,2336,2335,0,0,260.0198492,590.3701844,USDT_BTC,standard_no_volume,0,6,0
465.69,252.89,2316,2315,0,0,699.0147927,1107.833015,USDT_ETH,standard_no_volume,0,6,0
13.31,96.77,3890,3888,0,0,853.0853553,536.2667006,USDT_XRP,standard_no_volume,0,6,0
197.62,2000.04,3183,3182,0,0,3944.528822,434.2002572,USDT_LTC,standard_no_volume,0,6,0
0.68,37.26,1713,1713,0,0,259.9848641,307.88158,USDT_NEO,standard_no_volume,0,8,0
235.69,192.49,2891,2891,0,0,523.245304,752.0568798,USDT_ADA,standard_no_volume,0,8,0
-12.85,281.08,1787,1787,0,0,698.8269708,138.1956851,USDT_DASH,standard_no_volume,0,8,0
465.69,120.71,1953,1952,0,0,354.0596704,1107.833015,USDT_ETH,standard_no_volume,0,8,0
197.62,1123.25,2437,2436,0,0,2190.880258,434.2002572,USDT_LTC,standard_no_volume,0,8,0
13.31,62.24,3225,3223,0,0,526.183229,536.2667006,USDT_XRP,standard_no_volume,0,8,0
300.87,54.01,1961,1960,0,0,168.9950086,590.3701844,USDT_BTC,standard_no_volume,0,8,0
0.68,59.06,1514,1514,0,0,325.3947339,307.88158,USDT_NEO,standard_no_volume,0,10,0
235.69,86.16,2506,2506,0,0,295.0849508,752.0568798,USDT_ADA,standard_no_volume,0,10,0
-12.85,112.17,1565,1565,0,0,313.0798315,138.1956851,USDT_DASH,standard_no_volume,0,10,0
300.87,40.22,1730,1729,0,0,168.8423013,590.3701844,USDT_BTC,standard_no_volume,0,10,0
13.31,71.63,2841,2839,0,0,571.67923,536.2667006,USDT_XRP,standard_no_volume,0,10,0
465.69,86.11,1719,1718,0,0,254.9727531,1107.833015,USDT_ETH,standard_no_volume,0,10,0
197.62,1115.55,2139,2138,0,0,2053.429303,434.2002572,USDT_LTC,standard_no_volume,0,10,0
0.68,54.78,1379,1379,0,0,331.4565475,307.88158,USDT_NEO,standard_no_volume,0,12,0
-12.85,130.39,1398,1398,0,0,323.6750662,138.1956851,USDT_DASH,standard_no_volume,0,12,0
235.69,12.44,2214,2214,0,0,143.2168422,752.0568798,USDT_ADA,standard_no_volume,0,12,0
465.69,81.86,1540,1539,0,0,225.8773327,1107.833015,USDT_ETH,standard_no_volume,0,12,0
