Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window
0.68,0.0,0,0,0,0,0.0,307.8815800277975,USDT_NEO,exp_no_volume,0,0,0
-12.85,0.0,0,0,0,0,0.0,138.1956850952792,USDT_DASH,exp_no_volume,0,0,0
235.69,0.0,0,0,0,0,0.0,752.056879816026,USDT_ADA,exp_no_volume,0,0,0
197.62,0.0,0,0,0,0,0.0,434.20025721730667,USDT_LTC,exp_no_volume,0,0,0
465.69,0.0,0,0,0,0,0.0,1107.8330150165252,USDT_ETH,exp_no_volume,0,0,0
13.31,0.0,0,0,0,0,0.0,536.2667006478547,USDT_XRP,exp_no_volume,0,0,0
300.87,0.0,0,0,0,0,0.0,590.370184424182,USDT_BTC,exp_no_volume,0,0,0
0.68,99.05,3377,3377,0,0,455.074878391378,307.8815800277975,USDT_NEO,exp_no_volume,0,2,0
235.69,635.39,5204,5204,0,0,1819.5096172615374,752.056879816026,USDT_ADA,exp_no_volume,0,2,0
-12.85,110.13,3382,3382,0,0,380.44004086489514,138.1956850952792,USDT_DASH,exp_no_volume,0,2,0
197.62,2052.75,4940,4938,0,0,4978.1246122425155,434.20025721730667,USDT_LTC,exp_no_volume,0,2,0
300.87,181.01,3833,3832,0,0,404.6512791967813,590.370184424182,USDT_BTC,exp_no_volume,0,2,0
465.69,540.08,3884,3883,0,0,1548.891712881506,1107.8330150165252,USDT_ETH,exp_no_volume,0,2,0
13.31,60.87,5813,5811,0,0,910.8710824225129,536.2667006478547,USDT_XRP,exp_no_volume,0,2,0
-12.85,204.61,2555,2555,0,0,569.5426412258718,138.1956850952792,USDT_DASH,exp_no_volume,0,4,0
0.68,61.09,2483,2483,0,0,394.27758260857684,307.8815800277975,USDT_NEO,exp_no_volume,0,4,0
235.69,218.38,4031,4031,0,0,648.5046899205952,752.056879816026,USDT_ADA,exp_no_volume,0,4,0
197.62,2442.76,3864,3862,0,0,4903.091151445665,434.20025721730667,USDT_LTC,exp_no_volume,0,4,0
13.31,194.47,4614,4612,0,0,1449.679936229296,536.2667006478547,USDT_XRP,exp_no_volume,0,4,0
465.69,313.7,2875,2874,0,0,853.5206594642087,1107.8330150165252,USDT_ETH,exp_no_volume,0,4,0
300.87,122.33,2871,2870,0,0,265.7797394608178,590.370184424182,USDT_BTC,exp_no_volume,0,4,0
0.68,146.48,2089,2089,0,0,547.5726136368779,307.8815800277975,USDT_NEO,exp_no_volume,0,6,0
235.69,120.26,3392,3392,0,0,411.99425153734813,752.056879816026,USDT_ADA,exp_no_volume,0,6,0
-12.85,255.54,2134,2134,0,0,650.5810638613889,138.1956850952792,USDT_DASH,exp_no_volume,0,6,0
197.62,2058.63,3110,3109,0,0,3777.105347363034,434.20025721730667,USDT_LTC,exp_no_volume,0,6,0
300.87,95.59,2373,2372,0,0,230.06293300441095,590.370184424182,USDT_BTC,exp_no_volume,0,6,0
13.31,148.67,3912,3910,0,0,984.4321685131646,536.2667006478547,USDT_XRP,exp_no_volume,0,6,0
465.69,273.77,2402,2401,0,0,697.620260666679,1107.8330150165252,USDT_ETH,exp_no_volume,0,6,0
-12.85,219.0,1883,1883,0,0,549.7852845554287,138.1956850952792,USDT_DASH,exp_no_volume,0,8,0
0.68,80.37,1821,1821,0,0,428.21035030927,307.8815800277975,USDT_NEO,exp_no_volume,0,8,0
235.69,95.64,2925,2925,0,0,313.619075033182,752.056879816026,USDT_ADA,exp_no_volume,0,8,0
465.69,215.43,2062,2061,0,0,530.0295856497056,1107.8330150165252,USDT_ETH,exp_no_volume,0,8,0
13.31,178.46,3445,3443,0,0,1074.760870335817,536.2667006478547,USDT_XRP,exp_no_volume,0,8,0
197.62,1460.42,2702,2701,0,0,2825.477044248627,434.20025721730667,USDT_LTC,exp_no_volume,0,8,0
300.87,89.04,2059,2058,0,0,238.99776242117673,590.370184424182,USDT_BTC,exp_no_volume,0,8,0
0.68,76.69,1641,1641,0,0,373.00511626038787,307.8815800277975,USDT_NEO,exp_no_volume,0,10,0
-12.85,191.06,1704,1704,0,0,487.88713960195184,138.1956850952792,USDT_DASH,exp_no_volume,0,10,0
235.69,46.98,2626,2626,0,0,204.00279014081684,752.056879816026,USDT_ADA,exp_no_volume,0,10,0
465.69,131.26,1835,1834,0,0,362.0950609036863,1107.8330150165252,USDT_ETH,exp_no_volume,0,10,0
13.31,231.72,3141,3139,0,0,1331.1589117990632,536.2667006478547,USDT_XRP,exp_no_volume,0,10,0
197.62,1302.93,2339,2338,0,0,2524.1178576699544,434.20025721730667,USDT_LTC,exp_no_volume,0,10,0
300.87,85.68,1846,1845,0,0,244.85661724619044,590.370184424182,USDT_BTC,exp_no_volume,0,10,0
0.68,37.71,1490,1490,0,0,260.7845374421901,307.8815800277975,USDT_NEO,exp_no_volume,0,12,0
235.69,35.29,2393,2393,0,0,193.95403500994928,752.056879816026,USDT_ADA,exp_no_volume,0,12,0
-12.85,147.33,1571,1571,0,0,386.1294866346666,138.1956850952792,USDT_DASH,exp_no_volume,0,12,0
300.87,118.78,1700,1699,0,0,287.6290106795002,590.370184424182,USDT_BTC,exp_no_volume,0,12,0
197.62,1339.2,2210,2209,0,0,2658.627308775287,434.20025721730667,USDT_LTC,exp_no_volume,0,12,0
465.69,149.24,1706,1705,0,0,372.0300243139833,1107.8330150165252,USDT_ETH,exp_no_volume,0,12,0
13.31,181.46,2843,2841,0,0,883.218994234606,536.2667006478547,USDT_XRP,exp_no_volume,0,12,0
0.68,55.52,1407,1407,0,0,303.97314254180577,307.8815800277975,USDT_NEO,exp_no_volume,0,14,0
-12.85,128.66,1450,1450,0,0,341.12408290238545,138.1956850952792,USDT_DASH,exp_no_volume,0,14,0
235.69,33.05,2210,2210,0,0,165.70830430292546,752.056879816026,USDT_ADA,exp_no_volume,0,14,0
197.62,1286.15,2069,2068,0,0,2548.211160501598,434.20025721730667,USDT_LTC,exp_no_volume,0,14,0
13.31,145.11,2647,2645,0,0,778.3751381287896,536.2667006478547,USDT_XRP,exp_no_volume,0,14,0
300.87,100.61,1570,1569,0,0,247.39634423616928,590.370184424182,USDT_BTC,exp_no_volume,0,14,0
465.69,132.41,1577,1576,0,0,338.5791806372818,1107.8330150165252,USDT_ETH,exp_no_volume,0,14,0
0.68,78.3,1314,1314,0,0,389.07970224358894,307.8815800277975,USDT_NEO,exp_no_volume,0,16,0
-12.85,125.5,1368,1368,0,0,358.2758939203177,138.1956850952792,USDT_DASH,exp_no_volume,0,16,0
235.69,77.88,2096,2096,0,0,239.56460312372252,752.056879816026,USDT_ADA,exp_no_volume,0,16,0
197.62,1270.13,1974,1973,0,0,2580.4989676919336,434.20025721730667,USDT_LTC,exp_no_volume,0,16,0
13.31,68.88,2506,2504,0,0,582.9860303552734,536.2667006478547,USDT_XRP,exp_no_volume,0,16,0
300.87,94.32,1455,1454,0,0,238.09125858927135,590.370184424182,USDT_BTC,exp_no_volume,0,16,0
465.69,107.5,1477,1476,0,0,286.11341854025886,1107.8330150165252,USDT_ETH,exp_no_volume,0,16,0
0.68,65.48,1251,1251,0,0,376.108020775163,307.8815800277975,USDT_NEO,exp_no_volume,0,18,0
-12.85,99.22,1261,1261,0,0,292.5564292827855,138.1956850952792,USDT_DASH,exp_no_volume,0,18,0
235.69,61.91,1985,1985,0,0,205.26826434490684,752.056879816026,USDT_ADA,exp_no_volume,0,18,0
300.87,74.57,1338,1337,0,0,200.93442666698172,590.370184424182,USDT_BTC,exp_no_volume,0,18,0
197.62,1004.57,1834,1833,0,0,2033.8590110095356,434.20025721730667,USDT_LTC,exp_no_volume,0,18,0
13.31,75.62,2367,2365,0,0,598.4925992767824,536.2667006478547,USDT_XRP,exp_no_volume,0,18,0
