Buy and Hold,Strategy,Longs,Sells,Shorts,Covers,Stdev_Strategy,Stdev_Hold,Coin,Strategy_Name,Volume_Window,Price_Window,Long_Price_Window,
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,0,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,2,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,4,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,6,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,8,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,10,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,12,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,14,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,16,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,18,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,20,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,22,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,24,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,26,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,28,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,30,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,32,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,34,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,36,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,38,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,40,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,42,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,44,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,46,0,12.85
-12.85,0,0,0,0,0,0,138.1956851,USDT_DASH,exp_no_volume,0,48,0,12.85
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,0,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,2,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,4,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,6,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,8,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,10,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,12,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,14,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,16,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,18,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,20,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,22,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,24,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,26,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,28,0,-0.68
0.68,0,0,0,0,0,0,307.88158,USDT_NEO,exp_no_volume,0,30,0,-0.68
